In man-in-box?,Name,Preferred ID for nerve name,Superclass,Origin/Central connection/Parent nerve,Preferred ID for Origin/Central connection/Parent nerve,efferent/afferent for column D ,Anatomical landmarks along nerve (from origin to destination),Preferred ID for landmarks,Destination(s),Preferred ID (of destination),Extra details,Detailed relationship to landmarks,Notes,References
,Zygomatic nerve,FMA:52967,,"Point on maxillary nerve where zygomatic nerve starts

* Parasympathetic fibres from (Pterygopalatine ganglion)",* UBERON:0003962,,"* Exit from (foramen rotundum)
* (Pterygopalatine fossa)","* UBERON:0005446
* FMA:75309","* (Zygomaticotemporal nerve)
* (Zygomaticofacial nerve) 
* Fibres via (Lacrimal nerve) to 
* (Lacrimal gland)","* UBERON:0036264
* FMA:52973
* UBERON:0011096
* UBERON:0001817",,Branches in pterygopalatine fossa just after exit through foramen rotundum. Travels upwards and enters orbit through inferior orbital fissure. Runs through inferolateral aspect of extraconal space and divides into zygomaticotemporal and zygomaticofacial nerves which exit through foramina of the zygomatic bone.,,Gray's Anatomy p 410
Yes,Right zygomatic nerve,FMA:52968,FMA:52967,Point on right maxillary nerve where right zygomatic nerve starts,,,,,,,,,,
Yes,Left zygomatic nerve,FMA:52969,FMA:52967,"Point on left maxillary nerve where left zygomatic nerve starts
",,,,,,,,,,
,Zygomaticotemporal nerve,UBERON:0036264,,Point on zygomatic nerve where zygomaticotemporal nerve starts,,,,,"* (Skin of temple)
* (Lacrimal gland)","* UBERON:8480028
* UBERON:0001817","Cutaneous branch of maxillary nerve, division of zygomatic nerve. Canal in zygomatic bone.","Traverses a canal in the zygomatic bone and emerges through zygomaticotemporal foramen into anterior part of temporal fossa, ascends between bone and temporalis before piercing temporal fascia about 2cm above zygomatic arch to supply skin of temple. Communicates with facial and auriculotemporal nerves. Fibres to lacrimal gland.",,Gray's Anatomy p 502
Yes,Right zygomaticotemporal nerve (Zygomaticotemporal branch of right zygomatic nerve),FMA:52974,UBERON:0036264,Point on right zygomatic nerve where right zygomaticotemporal nerve starts,,,,,,,,,,
Yes,Left zygomaticotemporal nerve (Zygomaticotemporal branch of left zygomatic nerve),FMA:52975,UBERON:0036264,Point on left zygomatic nerve where left zygomaticotemporal nerve starts,,,,,,,,,,
,Zygomaticofacial branch of zygomatic nerve,FMA:52973,,Point on zygomatic nerve where zygomaticofacial branch of zygomatic nerve starts,,,,,* (Skin of cheek),* UBERON:0008803,Cutaneous branch of maxillary nerve via zygomatic nerve.,"Traverses inferolateral angle of orbit, emerges onto face through foramen in zygomatic bone. Perforates orbiculris oculi to supply skin on prominence of the cheek and forms a plexus with zygomatic branches of the facial nerve and palpebral branches of the maxillary nerve.",May be absent,Gray's Anatomy p 502
Yes,Right zygomaticofacial nerve (Zygomaticofacial branch of right zygomatic nerve),FMA:52976,FMA:52973,Point on right zygomatic nerve where zygomaticofacial branch of right zygomatic nerve starts,,,,,,,,,,
Yes,Left zygomaticofacial nerve (Zygomaticofacial branch of left zygomatic nerve),FMA:52977,FMA:52973,Point on left zygomatic nerve where zygomaticofacial branch of left zygomatic nerve starts,,,,,,,,,,
,Nasopalatine nerve,UBERON:0008810,,"* (Pterygopalatine ganglion)
Maxillary nerve branch",* UBERON:0003962,,* (Pterygopalatine fossa),* FMA:75309,"* Lower part of (Nasal septum)
* Anterior part of (Hard palate)
* Communicates with (Greater palatine nerve)","* UBERON:0001706
* UBERON:0003216
* FMA:52802",Branch from main trunk of maxillary nerve in pterygopalatine fossa,"Passes through pterygopalatone ganglion. From pterygopalatine fossa, passes through sphenopalatine foramen to supply sensory innervation of the hard palate. Enters palate at incisive foramen.",,Gray's Anatomy p 553
Yes,Right nasopalatine nerve,FMA:52798,UBERON:0008810,Point on right maxillary nerve where right nasopalatine nerve starts,,,,,,,,,,
Yes,Left nasopalatine nerve,FMA:52799,UBERON:0008810,Point on left maxillary nerve where left nasopalatine nerve starts,,,,,,,,,,
,Greater palatine nerve,FMA:52802,,"* (Pterygopalatine ganglion)
* Parasympathetic fibres from (Nerve of pterygoid canal)","* UBERON:0003962
* UBERON:0018412",,"* (Pterygopalatine fossa)
* (Greater palatine canal)","* FMA:75309
* FMA:57761","* (Hard palate)
* Communicates with terminal filaments of (Nasopalatine nerve)
* Posterior three-quarters of lateral wall, roof and floor of the (Nasal cavity)","* UBERON:0003216
* UBERON:0008810
* UBERON:0001707",,"Passes through pterygopalatine ganglion. From pterygopalatine fossa, descends through greater palatine canal to emerge on hard palate. Runs forwards on a groove on the inferior surface of the bony palate to supply gums and mucosa and glands of hard palate. As it leaves the greater palatine canal it gives palatine branches to both surfaces of the soft palate.",,"Gray's Anatomy p 510, 553
Netter's Atlas of Human Anatomy plate 48"
Yes,Right greater palatine nerve,FMA:52803,FMA:52802,Point on pterygopalatine ganglion where right greater palatine nerve starts,,,,,,,,,,
Yes,Left greater palatine nerve,FMA:52804,FMA:52802,Point on pterygopalatine ganglion where left greater palatine nerve starts,,,,,,,,,,
,"* Lesser palatine nerve
* Set of lesser palatine nerves","* FMA:52805
* FMA:75454",,* (Pterygopalatine ganglion),* UBERON:0003962,,"* (Pterygopalatine fossa)
* (Greater palatine canal)
* (Set of lesser palatine foramina)","* FMA:75309
* FMA:57761
* FMA:53167","* Taste from oral surface of (Soft palate)
* Secretomotor supply to (Soft palate mucosa)","* UBERON:0001733
* UBERON:0005024",,"Descend through greater palatine canal and emerge through lesser palatine foramina to supply uvula, tonsil and soft palate.",,"Gray's Anatomy p 575
Netter's Atlas of Human Anatomy 48"
Yes,Right lesser palatine nerve,FMA:52806,"FMA:52805
FMA:75454",Point on pterygopalatine ganglion where right lesser palatine nerve starts,,,,,,,,,,
Yes,Left lesser palatine nerve,FMA:52807,"FMA:52805
FMA:75454",Point on pterygopalatine ganglion where left lesser palatine nerve starts,,,,,,,,,,
,Pharyngeal nerve (Pterygopalatine nerve),UBERON:0034725,,"* (Pterygopalatine ganglion)
Small maxillary nerve branch",* UBERON:0003962,,* (Palatovaginal canal),* FMA:54372,* (Mucosa of nasopharynx) behind the pharyngotympanic tube,* UBERON:0005022,The SciCrunch search site describes the right and left pterygopalatine nerves as branches from the maxillary nerve to the pterygopalatine ganglion. I have listed these elsewhere as ganglionic branches of the maxillary nerve. The ontology lookup service describes the generic pterygopalatine nerve as arising from the pterygopalatine ganglion and travelling to the mucosa of the nasopharynx.,Leaves pterygopalatine ganglion posteriorly and passes through palatovaginal canal (pharyngeal canal) with pharyngeal branch of maxillary artery.,,Gray's Anatomy p 553
Yes,Right pharyngeal nerve (Right pterygopalatine nerve),REQUESTED,UBERON:0034725,Point on right maxillary nerve where right pharyngeal nerve starts,,,,,,,,,,
Yes,Left pharyngeal nerve (Left pterygopalatine nerve),REQUESTED,UBERON:0034725,Point on left maxillary nerve where left pharyngeal nerve starts,,,,,,,,,,
,Infraorbital nerve,UBERON:0018408,,Point on maxillary nerve where infraorbital nerve starts,,,"* (Infraorbital foramen)
* Lies between (Levator labii superioris) and
* (Levator anguli oris)","* UBERON:0018407
* UBERON:0001580
* UBERON:0008595","* (Palpebral branch of infra-orbital nerve)
* (Superior labial branch of infra-orbital nerve)
* (Infraorbital nerve plexus)
* Nasal branches
* (Skin of nose)
* Movable part of (Nasal septum)","* UBERON:0022297
* FMA:52986
* FMA:53345
* UBERON:0015476
* UBERON:0001706","Terminal branch of maxillary nerve, forms in pterygopalatine fossa.
Skin of lower eyelid, nasal vestibule, skin of side of nose and movable part of nasal septum, skin of anterior part of cheek and upper lip.","Emerges onto face at infraorbital foramen, lies between levator labii superioris and levator anguli oris. Gives off palpebral, nasal and superior labial branches. Palpebral branches ascend deep to orbicularis oculi, pierce the muscle to supply skin in lower eyelid and join with the facial and zygomaticofacial nerves near the lateral canthus. Nasal branches supply skin of side of nose and or movable part of nasal septum, and join the external nasal branch of the anterior ethmoidal nerve. Superior labial branches descend behind levator labii superioris to supply skin of anterior part of cheek and upper lip. They are joined by branches of the facial nerve to form the infraorbital plexus.",,"Gray's Anatomy p 410, 502
Netter's Atlas of Human Anatomy plate 61"
Yes,Right infraorbital nerve,FMA:52979,UBERON:0018408,Point on right maxillary nerve where right infraorbital nerve starts,,,,,,,,,,
Yes,Left infraorbital nerve,FMA:52980,UBERON:0018408,Point on left maxillary nerve where left infraorbital nerve starts,,,,,,,,,,
,Posterior superior alveolar nerve,UBERON:0018401,,Point on maxillary nerve where posterior superior alveolar nerve starts,,,* (Pterygopalatine fossa),* FMA:75309,"* (Maxillary sinus)
* (Molar tooth of upper jaw)
* (Molar tooth of lower jaw)
* (Upper gingiva)
* Adjoining part of (Cheek)
* (Superior dental nerve plexus)","* UBERON:0001764
* UBERON:0003666
* UBERON:0003667
* UBERON:0011601
* UBERON:0001567
* FMA:77528","Lining of maxillary sinus, joins molar part of superior alveolar plexus, twigs to molar teeth, branch to upper gingivae and adjoining part of cheek","Leaves maxillary nerve in pterygopalatine fossa, runs anteroinferiorly to pierce infratemporal surface of maxilla, descends under mucosa of maxillary sinus, supplies lining of maxillary sinus then contributes to superior alveolar plexus.",,Gray's Antomy p 526
Yes,Right posterior superior alveolar nerve,FMA:52936,UBERON:0018401,Point on right maxillary nerve where right posterior superior alveolar nerve starts,,,,,,,,,,
Yes,Left posterior superior alveolar nerve,FMA:52937,UBERON:0018401,Point on left maxillary nerve where left posterior superior alveolar nerve starts,,,,,,,,,,
,Middle superior alveolar nerve,FMA:52932,,Point on infraorbital nerve where middle superior alveolar nerve starts,,,* (Infraorbital groove),* UBERON:0018409,"* (Superior dental nerve plexus)
* (Upper premolar tooth) ","* FMA:77528
* UBERON:0016944",,"Arises from infraorbital nerve as it runs on infraorbital groove, runs downwards and forwards in lateral wall of maxillary sinus, ends in small branches that link to superior dental plexus, sends rami to upper premolar teeth","Variable, may be duplicated, triplicated or absent",Gray's Anatomy p 526
Yes,Right middle superior alveolar nerve,FMA:52939,FMA:52932,Point on right infraorbital nerve where right middle superior alveolar nerve starts,,,,,,,,,,
Yes,Left middle superior alveolar nerve,FMA:52940,FMA:52932,Point on left infraorbital nerve where left middle superior alveolar nerve starts,,,,,,,,,,
,Anterior superior alveolar nerve,UBERON:0035646,,Point on infraorbital nerve where anterior superior alveolar nerve starts,,,"* (Infraorbital canal)
* Anterior wall of (Maxillary sinus)
* Curves under (Infraorbital foramen)","* UBERON:0011245
* UBERON:0001764
* UBERON:0018407","* (Incisor tooth)
* (Canine teeth)
* (Superior dental nerve plexus)
* (Maxillary sinus mucosa)
* (Nasal cavity)
* (Nasal septum)","* UBERON:0001098
* UBERON:0003674
* FMA:77528
* UBERON:0005028
* UBERON:0001707
* UBERON:0001706","anterior part of lateral wall, floor of nasal cavity, nasal septum","Leaves lateral side of infraorbital nerve in infraorbital canal, traverses canalis sinuosus in anterior wall of maxillary sinus, curves under infraorbital foramen, passes medially towards nose, turns downwards and divides into branches to supply incisor and canine teeth, assists in formation of superior dental plexus, gives off nasal branch which supplies mucous membrane of anterior area of lateral wall as high as the opening of the maxillary sinus, and the floor of the nasal cavity. Communicates with nasal branches of pterygopalatine ganglion. Emerges near root of anterior nasal spine to supply adjoining part of nasal septum.",,Gray's Anatomy p 526
Yes,Right anterior superior alveolar nerve,FMA:52941,UBERON:0035646,Point on right infraorbital nerve where right anterior superior alveolar nerve starts,,,,,,,,,,
Yes,Left anterior superior alveolar nerve,FMA:52942,UBERON:0035646,Point on left infraorbital nerve where left anterior superior alveolar nerve starts,,,,,,,,,,
,Palpebral branch of infra-orbital nerve,UBERON:0022297,,Point on infraorbital nerve where palpebral branch of infra-orbital nerve starts,,,* Ascend deep to (Orbicularis oculi),* UBERON:0001578,* (Lower eyelid),* UBERON:0001713,,,,"Gray's Anatomy p 502, Netter's Atlas of Human Anatomy plates 9 and 98"
Yes,Right palpebral branch of infraorbital nerve (Palpebral branch of right infraorbital nerve),REQUESTED,UBERON:0022297,Point on right infraorbital nerve where right palpebral branch of infraorbital nerve starts,,,,,,,,,,
Yes,Left palpebral branch of infraorbital nerve (Palpebral branch of left infraorbital nerve),REQUESTED,UBERON:0022297,Point on left infraorbital nerve where left palpebral branch of infraorbital nerve starts,,,,,,,,,,
,Inferior palpebral branch of infra-orbital nerve,UBERON:0022296,,Point on infraorbital nerve where inferior palpebral branch of infraorbital nerve starts,,,,,* (Lower eyelid),* UBERON:0001713,,,,Gray's Anatomy p 502
,Set of inferior palpebral branches of infra-orbital nerve,FMA:75534,,,,,,,,,,,,
Yes,Right inferior palpebral branch of infraorbital nerve (Inferior palpebral branch of right infra-orbital nerve),FMA:52987,UBERON:0022296,Point on right infraorbital nerve where right inferior palpebral branch of infraorbital nerve starts,,,,,,,,,,
Yes,Left inferior palpebral branch of infraorbital nerve (Inferior palpebral branch of left infra-orbital nerve),FMA:52988,UBERON:0022296,Point on left infraorbital nerve where left inferior palpebral branch of infraorbital nerve starts,,,,,,,,,,
,Superior labial branch of infra-orbital nerve,FMA:52986,,Point on infraorbital nerve where superior labial branch of infraorbital nerve starts,,,* Descend behind (Levator labii superioris),* UBERON:0001580,"* (Cheek skin)
* (Upper lip skin)","* UBERON:0008803
* UBERON:0018151",,,,Gray's Anatomy p 502
Yes,Right superior labial branch of infraorbital nerve (Superior labial branch of right infra-orbital nerve),FMA:52994,FMA:52986,Point on right infraorbital nerve where right superior labial branch of infraorbital nerve starts,,,,,,,,,,
Yes,Left superior labial branch of infraorbital nerve (Superior labial branch of left infra-orbital nerve),FMA:52995,FMA:52986,Point on left infraorbital nerve where left superior labial branch of infraorbital nerve starts,,,,,,,,,,
,Mandibular nerve (CN Viii),UBERON:0000375,,"* (Trigeminal nerve)
* (Trigeminal ganglion)","* UBERON:0001645
* UBERON:0001675",,"* (Infratemporal fossa)
* (Foramen ovale)
* Passes between (Tensor veli palatini) medial and 
* (Lateral pterygoid) lateral","* UBERON:0013422
* UBERON:0001698
* UBERON:0008586
* UBERON:0006719","* (Meningeal branch of mandibular nerve)
* (Medial pterygoid nerve)
* Motor branches anteriorly
* (Auriculotemporal nerve)
* (Buccal nerve)
* (Inferior alveolar nerve)","* UBERON:0036143
* FMA:53056
* FMA:53000
* UBERON:0013646
* UBERON:0018405","Branch of Trigeminal nerve. Infratemporal fossa. Exits skull at Foramen ovale. Sensation from lower face and scalp, tongue and floor of mouth, mandibular teeth and part of external ear, proprioception from muscles of mastication, temporomandibular joint. Branches into buccal, mental and auriculotemporal nerves.","Large sensory root emerges from lateral part of trigeminal ganglion and exits cranial cavity through foramen ovale. Small motor root passes under ganglion and through foramen ovale to unite with sensory root just outside the skull. Mandibular nerve passes between tensor veli palatini (medial) and lateral pterygoid (lateral). Gives off meningeal branch and nerve to medial pterygoid. Nerve then divides into small anterior and large posterior trunk. Anterior gives off motor branches. Posterior gives off three sensory branches (auriculotemporal, lingual and inferior alveolar nerves) and some motor fibres.",,"Gray's Anatomy (Table 16.1), p 502, 550 
Last's Anatomy (revised 9th ed.) p 577
Netter's Atlas of Human Anatomy plate 59"
